link,penilaian,price,spek,seller_name,seller_rate,star_rating,cunt_rating,sales,category,Merk,Stock,Supplier_Place,total_penilaian,total_product,percentage_reply_m,reply_time_parameter,registered_date,follower
https://shopee.co.id/PLEATED-SHAWL-PASHMINA-PLISKET-CERUTY-BABYDOLL-LIDI-PREMIUM-TANPA-GARIS-TENGAH-i.339853224.8515315584,"['4.8', '1,3RB', '3RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok321', 'Dikirim DariKOTA SURABAYA - JAMBANGAN, JAWA TIMUR, ID']",redz.basic,"['2,9RB', '37', '79%', 'hitungan jam', '7 bulan lalu', '1,6RB']",4.8,"1,3RB",3RB,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"2,9RB",37,79%,hitungan jam,7 bulan lalu,"1,6RB"
https://shopee.co.id/Jilbab-Pashmina-Tali-Hafsha-Free-Masker-Ori-Nazilla-i.3942911.5278501761,"['4.9', '125', '444']",,"['KategoriShopeeFashion MuslimHijab', 'MerekNazilla', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok25', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",4.9,125,444,KategoriShopeeFashion MuslimHijab,MerekNazilla,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/JACE-Pashmina-Ceruty-Babydoll-Premium-Pashmina-Lozy-175-x-75-Jahit-Tepi-i.313007107.3030879853,"['4.9', '112', '1,5RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekJace', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok152', 'Dikirim DariKOTA SURABAYA - KENJERAN, JAWA TIMUR, ID']",jaceofficial,"['2,5RB', '19', '96%', 'hitungan jam', '8 bulan lalu', '5,5RB']",4.9,112,"1,5RB",KategoriShopeeFashion MuslimHijab,MerekJace,Asal ProdukLokal,StyleCasual,"2,5RB",19,96%,hitungan jam,8 bulan lalu,"5,5RB"
https://shopee.co.id/Jilbab-Pashmina-Maryam-Catlyn-Free-Masker-ori-Nazilla-i.3942911.9942601633,"['5.0', '7', '17']",,"['KategoriShopeeFashion MuslimHijab', 'MerekNazilla', 'Asal ProdukLokal', 'StyleCasual', 'BahanCrepe', 'Stok36', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",5.0,7,17,KategoriShopeeFashion MuslimHijab,MerekNazilla,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/PASHMINA-PLISKET-LIDI-PREMIUM-NUDES-EARHTTHONE-SERIES-PLEATED-SHAWL-TAHAP-2-TANPA-GARIS-TENGAH-i.339853224.9938752905,"['4.7', '464', '966']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok129', 'Dikirim DariKOTA SURABAYA - JAMBANGAN, JAWA TIMUR, ID']",redz.basic,"['2,9RB', '37', '79%', 'hitungan jam', '7 bulan lalu', '1,6RB']",4.7,464,966,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"2,9RB",37,79%,hitungan jam,7 bulan lalu,"1,6RB"
https://shopee.co.id/Jilbab-Pashmina-Softpad-Tali-motif-Sultan-02-Ori-Albilal-i.3942911.9402636531,"['4.9', '28', '70']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok22', 'Dikirim DariKOTA SURABAYA - SUKOMANUNGGAL, JAWA TIMUR, ID']",sendyayudianingtyas,"['191,2RB', '1,7RB', '90%', 'hitungan jam', '5 tahun lalu', '102,4RB']",4.9,28,70,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"191,2RB","1,7RB",90%,hitungan jam,5 tahun lalu,"102,4RB"
https://shopee.co.id/Pashmina-Plisket-(FULL-PLISKET)-i.143193231.6979965317,"['4.9', '69', '164']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleInstant', 'BahanCeruty', 'Stok42', 'Dikirim DariKOTA SURABAYA - BENOWO, JAWA TIMUR, ID']",kompilasihijab,"['711', '15', '52%', 'hitungan jam', '25 bulan lalu', '288']",4.9,69,164,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleInstant,711,15,52%,hitungan jam,25 bulan lalu,288
https://shopee.co.id/Pashmina-Plisket-Elisa-Pashmina-Prisket-Diamond-Kerudung-Pashmina-Premium-Full-Plisket-Uk-besar-i.33683311.5681181550,"['4.5', '472', '1,4RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'BahanDiamond Italiano', 'Stok1725', 'Dikirim DariKOTA SURABAYA - SUKOLILO, JAWA TIMUR, ID']",konveksihijabmurah,"['4,1RB', '143', '89%', 'hitungan jam', '4 tahun lalu', '3,8RB']",4.5,472,"1,4RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,BahanDiamond Italiano,Stok1725,"4,1RB",143,89%,hitungan jam,4 tahun lalu,"3,8RB"
https://shopee.co.id/PASHMINA-TALI-MUTIARA-i.10824366.7252888746,"['4.9', '1,1RB', '5,3RB']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCeruty', 'Stok3977', 'Dikirim DariKOTA SURABAYA - KREMBANGAN, JAWA TIMUR, ID']",musimah_hijab,"['71,4RB', '559', '79%', 'hitungan jam', '5 tahun lalu', '50,3RB']",4.9,"1,1RB","5,3RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"71,4RB",559,79%,hitungan jam,5 tahun lalu,"50,3RB"
https://shopee.co.id/Pashmina-Plisket-Premium-Pashmina-Plisket-Besar-Elisa-Pashmina-Plisket-Full-Kerudung-Pashmina-i.5505334.9022899139,"['4.4', '51', '182']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'BahanDiamond Italiano', 'Stok398', 'Dikirim DariKOTA SURABAYA - SUKOLILO, JAWA TIMUR, ID']",tas123,"['318', '160', '77%', 'hitungan jam', '5 tahun lalu', '648']",4.4,51,182,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,BahanDiamond Italiano,Stok398,318,160,77%,hitungan jam,5 tahun lalu,648
