shopid,itemid,catid,modelid,name,variation name 0,variation 0,variation name 1,variation 1,price,stock,description,images
392698816,8427641889,17886,8,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,MOCCA,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,9,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,NAVY,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,10,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,COKLAT,,,,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,11,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,SILVER,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,12,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,ABU SMA,,,,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,13,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,PEACH,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,14,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,CABE,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,15,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,HITAM,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,16,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,DUSTY,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
392698816,8427641889,17886,17,(BISA COD) HIJAB/JILBAB/KERUDUNG/BERGO OVAL HAMIDAH,Warna,MINT,,,19500,15,"b""Assalamu'alaikum pelanggan kami yang terhormat.kami menjual kerudung yang bernama JILBAB OVAL HAMIDAH.\n\nBahan:Bahan Jersey\n\n1.Memiliki berbagai macam varian warna\n\n2.Mampu menyerap keringat dengan baik \n\n3.Bahannya cepat kering \n\n4.Sifat kainnya tidak mudah kusut \n\n5.Bahannya awet\n\n6.Bahannya melar,fleksibel dan jatuh \n\n7.Memiliki harga terjangkau \n\nUkuran:\n\nPanjang depan 70 cm\n\nPanjang belakang 80 cm\n\nBerat 105 gram\n\n1Kg 12Pcs\n\nSELAMAT BERBELNJA,\n\nWASSALAMU'ALAIKUM.""","(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_1.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_2.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_3.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_4.jpg,(BISA_COD)_HIJAB_JILBAB_KERUDUNG_BERGO_OVAL_HAMIDAH_5.jpg"
