link,penilaian,price,spek,seller_name,seller_rate,star_rating,cunt_rating,sales,category,Merk,Stock,Supplier_Place,total_penilaian,total_product,percentage_reply_m,reply_time_parameter,registered_date,follower
https://shopee.co.id/PROMO-Pashmina-Crinkle-Part-2-Pashmina-Crinkle-Crinkle-Shawl-i.167281019.4708949766,"['4.9', '173', '421']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCrinkle', 'Stok218', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",jilbabgrosirsurabaya,"['6,5RB', '138', '95%', 'hitungan jam', '22 bulan lalu', '9,9RB']",4.9,173,421,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"6,5RB",138,95%,hitungan jam,22 bulan lalu,"9,9RB"
https://shopee.co.id/FLASHSALE-PASMINA-CRINKLE-TURKEY-TERMURAH-JILBAB-HIJAB-PASHMINA-IMPOR-PREMIUM-ORIGINAL-i.55583719.6808240787,"['4.8', '6', '10']",Rp25.000,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukImpor', 'StyleCasual', 'BahanCrikel', 'Stok27', 'Dikirim DariKOTA SURABAYA - SEMAMPIR, JAWA TIMUR, ID']",greenday.veil,"['63,9RB', '256', '63%', 'hitungan jam', '3 tahun lalu', '44,8RB']",4.8,6,10,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukImpor,StyleCasual,"63,9RB",256,63%,hitungan jam,3 tahun lalu,"44,8RB"
https://shopee.co.id/PASHMINA-CRINKLE-ORI-UMAMA-PASHMINA-POLOS-KUSUT-RAWIS-i.10824366.5333163363,"['4.7', '87', '301']",,"['KategoriShopeeFashion MuslimHijab', 'MerekUmama', 'Asal ProdukImpor', 'StyleCasual', 'BahanVoal Parisa', 'Stok3', 'Dikirim DariKOTA SURABAYA - KREMBANGAN, JAWA TIMUR, ID']",musimah_hijab,"['71,4RB', '559', '79%', 'hitungan jam', '5 tahun lalu', '50,3RB']",4.7,87,301,KategoriShopeeFashion MuslimHijab,MerekUmama,Asal ProdukImpor,StyleCasual,"71,4RB",559,79%,hitungan jam,5 tahun lalu,"50,3RB"
https://shopee.co.id/PREMIUM-PASHMINA-CRINKLE-ORI-HIJAB-COTTON-SHAWL-HIJAB-PREMIUM-i.156512295.2832222976,"['4.8', '146', '350']",,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'BahanCotton', 'Stok389', 'Dikirim DariKOTA SURABAYA - MULYOREJO, JAWA TIMUR, ID']",quinstoresby,"['182', '48', '28%', 'hitungan jam', '24 bulan lalu', '373']",4.8,146,350,KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,182,48,28%,hitungan jam,24 bulan lalu,373
https://shopee.co.id/Termurah-Pashmina-CRINKLE-GLITTER-BLACK-Rawis-Pashmina-Crinkle-Azara-Pashmina-i.69378570.7051165727,"['4.9', '30', '74']",Rp9.900 - Rp14.500,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukLokal', 'StyleCasual', 'Bahancrinkle', 'Stok51', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.9,30,74,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
https://shopee.co.id/PASHMINA-CRINKLE-KUSUT-RAWIS-ORI-TURKEY-COTTON-CRUSH-IMPORT-PASMINA-NEGRO-SHAWL-IMPORT-i.16644487.6417166727,"['4.8', '575', '2,1RB']",Rp12.999 - Rp15.999,"['KategoriShopeeFashion MuslimHijab', 'MerekTidak Ada Merek', 'Asal ProdukImpor', 'StyleCasual', 'BahanKatun', 'Stok14717', 'Dikirim DariKOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID']",aurahijabku,"['3RB', '92', '89%', 'hitungan jam', '4 tahun lalu', '2,1RB']",4.8,575,"2,1RB",KategoriShopeeFashion MuslimHijab,MerekTidak Ada Merek,Asal ProdukImpor,StyleCasual,3RB,92,89%,hitungan jam,4 tahun lalu,"2,1RB"
https://shopee.co.id/Pasmina-crinkle-pashmina-crinkle-murah-pasmin-crinkle-murah-i.167518624.4942941958,"['4.9', '110', '382']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Asal ProdukImpor', 'StyleInstant', 'BahanCRINCLE', 'Stok35', 'Dikirim DariKOTA SURABAYA - KENJERAN, JAWA TIMUR, ID']",fadhilahpalet27,"['472', '39', '58%', 'hitungan jam', '22 bulan lalu', '696']",4.9,110,382,KategoriShopeeFashion MuslimHijab,MerekAzara,Asal ProdukImpor,StyleInstant,472,39,58%,hitungan jam,22 bulan lalu,696
https://shopee.co.id/Lavanya-Crinkle-Azara-Pashmina-Azara-Crinkle-Pasmina-Crinkle-Azara-Grosir-Murah-Berkualitas-i.48783576.4303272314,"['4.9', '13', '234']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'BahanCrinkle', 'Stok766', 'Dikirim DariKOTA SURABAYA - JAMBANGAN, JAWA TIMUR, ID']",syifa_hijab_grosir,"['5,2RB', '396', '81%', 'hitungan jam', '3 tahun lalu', '4,3RB']",4.9,13,234,KategoriShopeeFashion MuslimHijab,MerekAzara,BahanCrinkle,Stok766,"5,2RB",396,81%,hitungan jam,3 tahun lalu,"4,3RB"
https://shopee.co.id/Pashmina-crinkle-plisket-Alzara-i.51749035.6536510552,"['4.9', '29', '136']",,"['KategoriShopeeFashion MuslimHijab', 'MerekAzara', 'Bahanpollycotton', 'Stok153', 'Dikirim DariKOTA SURABAYA - TAMBAKSARI, JAWA TIMUR, ID']",lalashop82,"['9,8RB', '95', '81%', 'hitungan jam', '3 tahun lalu', '7,4RB']",4.9,29,136,KategoriShopeeFashion MuslimHijab,MerekAzara,Bahanpollycotton,Stok153,"9,8RB",95,81%,hitungan jam,3 tahun lalu,"7,4RB"
https://shopee.co.id/Pashmina-Crinkle-Negro-shawl-Motif-8-umama-Pashmina-motif-Pasmina-Rawis-Crinkle-motif-i.69378570.1915687710,"['4.8', '126', '393']",,"['KategoriShopeeFashion MuslimHijabHijab Segi Empat', 'MerekTidak Ada Merek', 'Asal ProdukLokal', 'StyleCasual', 'Bahanspring voal', 'Stok16', 'Dikirim DariKOTA SURABAYA - LAKAR SANTRI, JAWA TIMUR, ID']",grosir_hijab_termurah,"['65,8RB', '435', '98%', 'hitungan jam', '3 tahun lalu', '84,6RB']",4.8,126,393,KategoriShopeeFashion MuslimHijabHijab Segi Empat,MerekTidak Ada Merek,Asal ProdukLokal,StyleCasual,"65,8RB",435,98%,hitungan jam,3 tahun lalu,"84,6RB"
