,link,penilaian,price,spek,seller_name,seller_rate
12,https://shopee.co.id/CASING-CASE-SAMSUNG-J1ACE-J2-J2PRIME-J7PRIME-J3-J5-J2CORE-J6PRO-SOFTCASE-IPAKY-CARBON-i.299079311.6350977432,"['4.6', '14', '176']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanSilikon', 'Model HPSamsung', 'Stok663', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
13,https://shopee.co.id/SOFTCASE-CUSTOM-NAMA-CUSTOM-FOTO-BEBAS-CASE-CUSTOM-OPPO-XIAOMI-SAMSUNG-VIVO-IPHONE-REALME-REDMI-i.120758727.1856701321,"['4.7', '141', '1,4RB']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversCustom Case', 'MerekOppo', 'BahanSilikon', 'Model HPOPPO', 'Stok929', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",jayaraya.id,"['5RB', '805', '63%', 'hitungan jam', '29 bulan lalu', '6RB']"
14,https://shopee.co.id/HOUSING-SAMSUNG-GALAXY-V-BIASA-CASING-SAMSUNG-G313-HIGH-QUALITY-i.33520389.722516382,"['5.0', '10', '19']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPg313', 'Stok194', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",acc_ku,"['30RB', '1,9RB', '69%', 'hitungan jam', '4 tahun lalu', '5,2RB']"
15,https://shopee.co.id/CASING-SAMSUNG-GALAXY-GRAND-NEO-I9060-i-9060-HOUSING-FULLSET-i.52755387.1288506900,"['4.8', '132', '208']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPGrand Neo i9060', 'Stok90', 'Dikirim DariKOTA JAKARTA UTARA - PENJARINGAN, DKI JAKARTA, ID']",miaumiaushop,"['11,4RB', '776', '95%', 'hitungan jam', '3 tahun lalu', '3,4RB']"
16,https://shopee.co.id/CASING-SOFT-CASE-XIAOMI-REDMI-4A-3-4X-NOTE-5A-5A-6A-7-8-5-5-PRO-5-7-i.35026093.1856500868,"['4.8', '3,5RB', '6,4RB']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekXiaomi', 'BahanSilikon', 'Model HPXIAOMI REDMI', 'Stok806', 'Dikirim DariKOTA JAKARTA TIMUR - PULO GADUNG, DKI JAKARTA, ID']",rajakingkong,"['296,6RB', '931', '90%', 'hitungan jam', '4 tahun lalu', '356,8RB']"
17,https://shopee.co.id/CASING-FULLSET-SAMSUNG-J5-2015-J500-J500G-OEM-i.26319632.417235593,"['4.7', '271', '445']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekSamsung', 'BahanPlastik', 'Model HPj500', 'Stok220', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",mitra_spareparts_hp,"['14,9RB', '3,5RB', '99%', 'hitungan jam', '4 tahun lalu', '3,7RB']"
18,https://shopee.co.id/CASING-OPPO-A71-A83-A39-A57-F1S-A59-NEO-7-NEO-9-HARDCASE-SPIGEN-TRANSFORMER-PHANTOM-i.299079311.7851199620,"['4.6', '15', '33']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekOppo', 'BahanMetal', 'Model HPOppo', 'Stok266', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
19,https://shopee.co.id/BackDoor-Tutup-Belakang-BackCover-Casing-HP-Oppo-Mirror-5-A51-ORIGINAL-i.44978207.1784486370,"['4.8', '12', '19']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversHard Case', 'MerekOppo', 'BahanPlastik', 'Model HPOppo Mirror 5', 'Stok81', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",jhonichen,"['5RB', '1,5RB', '90%', 'hitungan jam', '4 tahun lalu', '1,6RB']"
20,https://shopee.co.id/Case-Flip-Case-Book-Cover-Anymode-Samsung-Note-10.1-Inch-N8000-i.1794959.1338846162,"['4.7', '43', '99']",,"['KategoriShopeeHandphone & AksesorisCasing & CoversFlip Case', 'MerekSamsung', 'BahanKanvas/ Kain', 'Model HPsamsung note 10.1inch / n8000', 'Stok134', 'Dikirim DariKOTA JAKARTA BARAT - KEBON JERUK, DKI JAKARTA, ID']",b.original88,"['4,6RB', '2RB', '83%', 'hitungan jam', '6 tahun lalu', '800']"
21,https://shopee.co.id/CASING-CASE-OPPO-NEO9-A3S-A5S-A1K-F11-F11-PRO-SOFTCASE-IPAKY-CARBON-i.299079311.6951021184,"['4.3', '20', '146']",,"['KategoriShopeeHandphone & AksesorisCasing & Covers', 'MerekOppo', 'BahanSilikon', 'Model HPOppo', 'Stok59880', 'Dikirim DariKOTA JAKARTA PUSAT - GAMBIR, DKI JAKARTA, ID']",duniacase26,"['11RB', '925', '69%', 'hitungan jam', '10 bulan lalu', '4,3RB']"
